Wed Oct 23 14:00:01 2019,361,72,deg F,2000.0,ppm
Wed Oct 23 14:00:01 2019,369,69,deg F,2000.0,ppm
Thu Oct 24 07:39:01 2019,363,73,deg F,1212.0,ppm
Thu Oct 24 07:39:01 2019,207,74,deg F,1245.0,ppm
Thu Oct 24 07:39:01 2019,353,74,deg F,1339.0,ppm
Thu Oct 24 07:39:01 2019,203,77,deg F,1350.0,ppm
Thu Oct 24 07:39:01 2019,377,73,deg F,1365.0,ppm
Thu Oct 24 07:39:01 2019,359,74,deg F,1367.0,ppm
Thu Oct 24 07:39:01 2019,341,71,deg F,1369.0,ppm
Thu Oct 24 07:39:01 2019,251,73,deg F,1383.0,ppm
Thu Oct 24 07:39:01 2019,230,0,deg F,1400.0,ppm
Thu Oct 24 07:39:01 2019,365,73,deg F,1446.0,ppm
Thu Oct 24 07:39:01 2019,349,70,deg F,1486.0,ppm
Thu Oct 24 07:39:01 2019,228,71,deg F,1512.0,ppm
Thu Oct 24 07:39:01 2019,339,73,deg F,1518.0,ppm
Thu Oct 24 07:39:01 2019,227,72,deg F,1656.0,ppm
Thu Oct 24 07:39:01 2019,343,73,deg F,1741.0,ppm
Thu Oct 24 07:39:01 2019,335,72,deg F,1794.0,ppm
Thu Oct 24 07:39:01 2019,361,72,deg F,1816.0,ppm
Thu Oct 24 07:39:01 2019,323,72,deg F,1841.0,ppm
Thu Oct 24 07:39:01 2019,357,75,deg F,1871.0,ppm
Thu Oct 24 07:39:01 2019,337,73,deg F,1991.0,ppm
Thu Oct 24 07:39:01 2019,309,74,deg F,1994.0,ppm
Thu Oct 24 07:39:01 2019,369,69,deg F,2000.0,ppm
